height,age,appearance,goals,assists,goals conceded,highest_value,position_encoded,winger,DBSCAN
189.0,32.0,104,0.0,0.0,1.217252396,70000000,1,0,-1
196.0,30.0,15,0.0,0.0,1.242331288,22000000,1,0,0
188.0,37.0,4,0.0,0.0,0.616438356,6000000,1,0,0
175.0,25.0,82,0.028089888,0.056179775,0.0,50000000,2,0,0
191.0,30.0,63,0.017889088,0.017889088,0.0,80000000,2,0,0
194.0,30.0,68,0.037799244,0.0,0.0,70000000,2,0,0
187.0,28.0,70,0.0,0.032900749,0.0,35000000,2,0,0
185.0,31.0,8,0.0,0.0,0.0,20000000,2,0,0
186.0,21.0,34,0.0,0.0,0.0,2000000,2,0,0
178.0,27.0,74,0.015374103,0.169115135,0.0,42000000,2,1,1
169.0,23.0,89,0.012619181,0.063095906,0.0,22000000,2,1,1
180.0,22.0,34,0.0,0.033507074,0.0,12000000,2,1,1
183.0,24.0,72,0.032292788,0.048439182,0.0,35000000,2,1,1
183.0,25.0,60,0.0,0.018816642,0.0,40000000,2,1,1
185.0,31.0,101,0.090817356,0.124873865,0.0,80000000,3,0,0
191.0,26.0,76,0.096010241,0.038404096,0.0,35000000,3,0,0
182.0,31.0,55,0.067214339,0.313666916,0.0,100000000,3,0,-1
177.0,29.0,74,0.144046095,0.086427657,0.0,42000000,3,0,0
169.0,30.0,92,0.184842884,0.22181146,0.0,50000000,3,0,0
184.0,26.0,31,0.155574762,0.0,0.0,55000000,3,0,0
181.0,20.0,39,0.129124821,0.06456241,0.0,800000,3,0,0
175.0,18.0,51,0.153758542,0.102505695,0.0,800000,3,0,0
179.0,28.0,105,0.23933518,0.289196676,0.0,90000000,3,0,-1
185.0,25.0,88,0.528789659,0.196407588,0.0,85000000,4,1,1
180.0,23.0,79,0.21978022,0.10989011,0.0,130000000,4,1,-1
178.0,21.0,63,0.236220472,0.206692913,0.0,25000000,4,1,1
180.0,18.0,72,0.525730181,0.300417246,0.0,25000000,4,1,1
172.0,23.0,80,0.335252286,0.228581104,0.0,75000000,4,1,1
174.0,21.0,34,0.0,0.087378641,0.0,7000000,4,1,1
181.0,21.0,24,0.317647059,0.105882353,0.0,50000000,4,1,-1
181.0,27.0,52,0.399032648,0.145102781,0.0,65000000,4,0,0
197.0,30.0,93,0.270635995,0.148849797,0.0,30000000,4,0,0
195.0,30.0,41,0.0,0.0,0.898502496,17500000,1,0,0
190.0,38.0,75,0.0,0.0,1.331722784,9000000,1,0,0
190.0,27.0,70,0.086970527,0.043485263,0.0,32000000,2,0,0
190.0,28.0,65,0.050055617,0.016685206,0.0,35000000,2,0,0
186.0,26.0,72,0.037098104,0.037098104,0.0,35000000,2,0,0
191.0,35.0,42,0.027059531,0.0,0.0,13000000,2,0,0
176.0,28.0,71,0.051516886,0.068689181,0.0,30000000,2,1,1
170.0,33.0,80,0.028033017,0.140165083,0.0,12000000,2,1,1
