,height,age,appearance,goals,assists,yellow cards,goals conceded,clean sheets,minutes played,current_value,highest_value,winger,kmeans
0,189.0,32.0,104,0.0,0.0,0.009584665,1.217252396,0.335463259,9390,15000000,70000000,0,0
1,196.0,30.0,15,0.0,0.0,0.069018405,1.242331288,0.207055215,1304,1500000,22000000,0,2
2,188.0,37.0,4,0.0,0.0,0.0,0.616438356,0.924657534,292,600000,6000000,0,2
3,175.0,25.0,82,0.028089888,0.056179775,0.224719101,0.0,0.0,6408,50000000,50000000,0,0
4,191.0,30.0,63,0.017889088,0.017889088,0.053667263,0.0,0.0,5031,40000000,80000000,0,0
5,194.0,30.0,68,0.037799244,0.0,0.302393952,0.0,0.0,4762,25000000,70000000,0,0
6,187.0,28.0,70,0.0,0.032900749,0.115152623,0.0,0.0,5471,15000000,35000000,0,5
7,185.0,31.0,8,0.0,0.0,0.216346154,0.0,0.0,416,2000000,20000000,0,1
8,186.0,21.0,34,0.0,0.0,0.130529369,0.0,0.0,2758,2000000,2000000,0,1
9,178.0,27.0,74,0.015374103,0.169115135,0.353604373,0.0,0.0,5854,35000000,42000000,1,0
10,169.0,23.0,89,0.012619181,0.063095906,0.227145261,0.0,0.0,7132,22000000,22000000,1,5
11,180.0,22.0,34,0.0,0.033507074,0.335070737,0.0,0.0,2686,10000000,12000000,1,3
12,183.0,24.0,72,0.032292788,0.048439182,0.226049516,0.0,0.0,5574,35000000,35000000,1,0
13,183.0,25.0,60,0.0,0.018816642,0.094083211,0.0,0.0,4783,22000000,40000000,1,0
14,185.0,31.0,101,0.090817356,0.124873865,0.329212916,0.0,0.0,7928,50000000,80000000,0,0
15,191.0,26.0,76,0.096010241,0.038404096,0.384040964,0.0,0.0,4687,25000000,35000000,0,0
16,182.0,31.0,55,0.067214339,0.313666916,0.089619119,0.0,0.0,4017,25000000,100000000,0,0
17,177.0,29.0,74,0.144046095,0.086427657,0.230473752,0.0,0.0,3124,20000000,42000000,0,0
18,169.0,30.0,92,0.184842884,0.22181146,0.33271719,0.0,0.0,4869,20000000,50000000,0,0
19,184.0,26.0,31,0.155574762,0.0,0.155574762,0.0,0.0,1157,17000000,55000000,0,0
20,181.0,20.0,39,0.129124821,0.06456241,0.225968436,0.0,0.0,2788,800000,800000,0,1
21,175.0,18.0,51,0.153758542,0.102505695,0.0,0.0,0.0,3512,800000,800000,0,5
22,179.0,28.0,105,0.23933518,0.289196676,0.219390582,0.0,0.0,9025,75000000,90000000,0,0
23,185.0,25.0,88,0.528789659,0.196407588,0.07554138,0.0,0.0,5957,80000000,85000000,1,0
24,180.0,23.0,79,0.21978022,0.10989011,0.0,0.0,0.0,4914,55000000,130000000,1,0
25,178.0,21.0,63,0.236220472,0.206692913,0.029527559,0.0,0.0,3048,25000000,25000000,1,3
26,180.0,18.0,72,0.525730181,0.300417246,0.225312935,0.0,0.0,3595,25000000,25000000,1,0
27,172.0,23.0,80,0.335252286,0.228581104,0.182864883,0.0,0.0,5906,70000000,75000000,1,0
28,174.0,21.0,34,0.0,0.087378641,0.262135922,0.0,0.0,1030,3000000,7000000,1,3
29,181.0,21.0,24,0.317647059,0.105882353,0.105882353,0.0,0.0,1700,0,50000000,1,3
30,181.0,27.0,52,0.399032648,0.145102781,0.036275695,0.0,0.0,2481,15000000,65000000,0,0
31,197.0,30.0,93,0.270635995,0.148849797,0.148849797,0.0,0.0,6651,14000000,30000000,0,5
32,195.0,30.0,41,0.0,0.0,0.0,0.898502496,0.449251248,3606,8000000,17500000,0,2
33,190.0,38.0,75,0.0,0.0,0.040767024,1.331722784,0.27178016,6623,1000000,9000000,0,2
34,190.0,27.0,70,0.086970527,0.043485263,0.144950878,0.0,0.0,6209,32000000,32000000,0,0
35,190.0,28.0,65,0.050055617,0.016685206,0.033370412,0.0,0.0,5394,28000000,35000000,0,0
